file,unit,status,loc_churn,bucket,recurring,source,reason,blast_radius_module,blast_radius_unit
feat/findings/fe/app/api/src/commonMain/kotlin/cz/adamec/timotej/snag/findings/fe/app/api/AddFindingPhotoUseCase.kt,:feat:findings:fe:app:api::commonMain[FE],M,5,local,False,hand,"commonMain use-case interface signature widening on the commonized base. Forced by the counterfactual commonization — on main, this would have been a webMain-only edit (see photo-progress-correct.yaml).",4,12
feat/findings/fe/app/impl/src/commonMain/kotlin/cz/adamec/timotej/snag/findings/fe/app/impl/internal/AddFindingPhotoUseCaseImpl.kt,:feat:findings:fe:app:impl::commonMain[FE],M,6,local,False,hand,commonMain use-case impl threads onProgress to the port. Forced by commonization.,3,9
feat/findings/fe/app/impl/src/nonWebMain/kotlin/cz/adamec/timotej/snag/findings/fe/app/impl/internal/NonWebFindingPhotoStoragePort.kt,:feat:findings:fe:app:impl::nonWebMain,M,3,local,False,hand,"NonWeb port impl forced to accept onProgress param it cannot use (ISP smell — annotated inline in source). On main, this file does not exist; nonWeb path goes directly to LocalFileStorage in NonWebAddFindingPhotoUseCaseImpl.",3,2
feat/findings/fe/app/impl/src/webMain/kotlin/cz/adamec/timotej/snag/findings/fe/app/impl/internal/WebFindingPhotoStoragePort.kt,:feat:findings:fe:app:impl::webMain,M,21,local,False,hand,"Web port impl threads onProgress: emits synthetic 0f / 1f around remoteFileStorage.uploadFile (RemoteFileStorage signature unchanged, same as on correct branch).",3,2
feat/findings/fe/driving/impl/src/webMain/kotlin/cz/adamec/timotej/snag/findings/fe/driving/impl/internal/findingDetail/vm/WebFindingDetailViewModel.kt,:feat:findings:fe:driving:impl::webMain,M,14,local,False,hand,"Web VM passes non-default onProgress callback + exposes uploadProgressFlow StateFlow. Same shape of edit as on photo-progress-correct, no semantic difference at this site.",1,0
feat/findings/fe/ports/src/commonMain/kotlin/cz/adamec/timotej/snag/findings/fe/ports/FindingPhotoStoragePort.kt,:feat:findings:fe:ports::commonMain[FE],M,1,local,False,hand,Port interface signature widening — onProgress added with default = {}. AVT cost: this widening recompiles every downstream FE target (5 leaves) of the ports module.,10,23
feat/projects/fe/app/api/src/commonMain/kotlin/cz/adamec/timotej/snag/projects/fe/app/api/AddProjectPhotoUseCase.kt,:feat:projects:fe:app:api::commonMain[FE],M,5,local,False,hand,Mirror of findings AddFindingPhotoUseCase commonMain signature widening.,7,21
feat/projects/fe/app/impl/src/commonMain/kotlin/cz/adamec/timotej/snag/projects/fe/app/impl/internal/AddProjectPhotoUseCaseImpl.kt,:feat:projects:fe:app:impl::commonMain[FE],M,6,local,False,hand,Mirror of findings AddFindingPhotoUseCaseImpl edit.,4,12
feat/projects/fe/app/impl/src/nonWebMain/kotlin/cz/adamec/timotej/snag/projects/fe/app/impl/internal/NonWebProjectPhotoStoragePort.kt,:feat:projects:fe:app:impl::nonWebMain,M,3,local,False,hand,Mirror of findings NonWeb port impl ISP-smell edit.,4,3
feat/projects/fe/app/impl/src/webMain/kotlin/cz/adamec/timotej/snag/projects/fe/app/impl/internal/WebProjectPhotoStoragePort.kt,:feat:projects:fe:app:impl::webMain,M,21,local,False,hand,Mirror of findings Web port impl progress threading.,4,3
feat/projects/fe/driving/impl/src/webMain/kotlin/cz/adamec/timotej/snag/projects/fe/driving/impl/internal/projectDetails/vm/WebProjectDetailsViewModel.kt,:feat:projects:fe:driving:impl::webMain,M,14,local,False,hand,Mirror of findings Web VM uploadProgressFlow exposure.,2,1
feat/projects/fe/ports/src/commonMain/kotlin/cz/adamec/timotej/snag/projects/fe/ports/ProjectPhotoStoragePort.kt,:feat:projects:fe:ports::commonMain[FE],M,1,local,False,hand,Mirror of findings FindingPhotoStoragePort signature widening.,11,23
