file,unit,status,loc_churn,bucket,recurring,source,reason,blast_radius_module,blast_radius_unit
feat/clients/business/model/src/commonMain/kotlin/cz/adamec/timotej/snag/clients/business/Client.kt,:feat:clients:business:model::commonMain[FE+BE],M,2,local,False,hand,3a origin — new val ico: String? added to base Client interface,25,38
feat/clients/app/model/src/commonMain/kotlin/cz/adamec/timotej/snag/clients/app/model/AppClient.kt,:feat:clients:app:model::commonMain[FE+BE],M,1,local,False,hand,3a — AppClientData adds override val ico with default null (mechanism 2: default absorption),24,36
feat/clients/contract/src/commonMain/kotlin/cz/adamec/timotej/snag/clients/contract/ClientApiDto.kt,:feat:clients:contract::commonMain[FE+BE],M,1,local,False,hand,3a — wire DTO gains ico field for API transfer,2,3
feat/clients/contract/src/commonMain/kotlin/cz/adamec/timotej/snag/clients/contract/PutClientApiDto.kt,:feat:clients:contract::commonMain[FE+BE],M,1,local,False,hand,3a — create/update DTO gains ico field for API transfer,2,3
feat/clients/fe/driven/impl/src/commonMain/kotlin/cz/adamec/timotej/snag/clients/fe/driven/internal/api/Mappers.kt,:feat:clients:fe:driven:impl::commonMain[FE],M,2,local,False,hand,3a — FE API mapper threads ico between DTO and model,1,1
feat/clients/fe/driven/impl/src/commonMain/kotlin/cz/adamec/timotej/snag/clients/fe/driven/internal/db/Mappers.kt,:feat:clients:fe:driven:impl::commonMain[FE],M,2,local,False,hand,3a — FE DB mapper threads ico between SQLDelight entity and model,1,1
featShared/database/fe/driven/api/src/commonMain/sqldelight/cz/adamec/timotej/snag/featShared/database/fe/driven/api/db/ClientEntity.sq,:featShared:database:fe:driven:api::commonMain[FE],M,6,local,False,hand,"3a — FE SQLDelight schema adds ico column, updates save statement",18,27
featShared/database/fe/driven/api/src/commonMain/sqldelight/cz/adamec/timotej/snag/featShared/database/fe/driven/api/db/2.sqm,:featShared:database:fe:driven:api::commonMain[FE],A,1,local,False,hand,3a — FE SQLDelight migration for ico column (ALTER TABLE ADD COLUMN),18,27
featShared/database/fe/driven/api/src/commonMain/sqldelight/cz/adamec/timotej/snag/featShared/database/fe/driven/api/schemas/3.db,:featShared:database:fe:driven:api::commonMain[FE],A,0,local,False,hand,3a — auto-generated SQLDelight schema snapshot after migration,18,27
featShared/database/be/driven/api/src/main/kotlin/cz/adamec/timotej/snag/featShared/database/be/driven/api/ClientsTable.kt,:featShared:database:be:driven:api::main,M,2,local,False,hand,3a+3b — BE Exposed table gains ico and adminNote columns,8,9
featShared/database/be/driven/api/src/main/kotlin/cz/adamec/timotej/snag/featShared/database/be/driven/api/ClientEntity.kt,:featShared:database:be:driven:api::main,M,2,local,False,hand,3a+3b — BE Exposed DAO entity gains ico and adminNote properties,8,9
feat/clients/be/app/model/src/main/kotlin/cz/adamec/timotej/snag/clients/be/model/BackendClient.kt,:feat:clients:be:app:model::main,M,6,local,False,hand,3a — BackendClientData adds override val ico with default (inheritance); 3b — BackendClient interface + BackendClientData gain adminNote with default,14,19
feat/clients/be/driven/impl/src/main/kotlin/cz/adamec/timotej/snag/clients/be/driven/impl/internal/Mapper.kt,:feat:clients:be:driven:impl::main,M,2,local,False,hand,3a+3b — BE driven mapper threads ico and adminNote from Exposed entity to BackendClientData,1,1
feat/clients/be/driven/impl/src/main/kotlin/cz/adamec/timotej/snag/clients/be/driven/impl/internal/RealClientsDb.kt,:feat:clients:be:driven:impl::main,M,4,local,False,hand,3a+3b — RealClientsDb.saveClient threads ico and adminNote in update and insert paths,1,1
feat/clients/be/driving/impl/src/main/kotlin/cz/adamec/timotej/snag/clients/be/driving/impl/internal/Mapper.kt,:feat:clients:be:driving:impl::main,M,2,local,False,hand,"3a — BE driving mapper threads ico between BackendClient and DTO (adminNote stays BE-internal, not on wire DTO)",1,1
feat/clients/be/driven/test/src/main/kotlin/cz/adamec/timotej/snag/clients/be/driven/test/ClientsDbTestExtensions.kt,:feat:clients:be:driven:test::main,M,4,intrinsic,True,hand,Test fixture seedTestClient enumerates BackendClientData fields — touched on every entity extension (low severity per anomaly taxonomy: testInfra/** category),73,92
feat/clients/contract/src/commonTest/kotlin/cz/adamec/timotej/snag/clients/contract/ClientApiDtoSerializationTest.kt,:root::non-module,A,64,local,False,hand,3a — round-trip serialization test verifying backwards-compatible JSON parsing with/without ico field,0,0
